Step,Accuracy_Train,TRP_Train,FPR_Train,Cost_train,Accuracy_Val,TRP_Val,FPR_Val,Cost_Val
0,50.000000232830644,100.0,0.0,1.0634694351974636,75.0,100.0,0.0,0.8554268361069818
32,50.000000232830644,100.0,0.0,0.9334031339165191,75.0,100.0,0.0,0.8702897988200883
64,55.76388927487036,100.0,11.527777777777779,0.8949095965869437,75.0,100.0,0.0,0.8787156345192338
96,66.6666673341145,100.0,33.333333333333336,0.8603624134151185,75.0,100.0,0.0,0.8866239609609213
128,82.29166773768763,100.0,64.58333333333333,0.8282770790695366,75.0,100.0,0.0,0.8563799333294329
160,84.86111224628985,100.0,69.72222222222223,0.7982708314577837,75.0,100.0,0.0,0.8558552828063647
192,87.1160142744581,99.50980392156862,74.72222222222221,0.7700393627297001,83.33333333333333,100.0,33.333333333333336,0.8463269539004522
224,90.03540432701509,98.5430283224401,81.52777777777777,0.7438618456093575,70.83333333333333,83.33333333333333,33.333333333333336,0.8369867586437527
256,90.23965271189809,97.56263616557733,82.91666666666667,0.7188706127697538,70.83333333333333,83.33333333333333,33.333333333333336,0.8774391341771434
288,92.32570941870411,96.59586056644882,88.05555555555554,0.6954612895595235,70.83333333333333,83.33333333333333,33.333333333333336,0.8761016785176139
320,96.26770299704124,96.84095860566451,95.69444444444444,0.6732027237251303,66.66666666666667,77.77777777777777,33.333333333333336,0.8961094110772311
352,96.14515397697687,96.59586056644879,95.69444444444444,0.6521811053121295,66.66666666666667,77.77777777777777,33.333333333333336,0.8987154658081696
384,97.07788820378482,97.07244008714598,97.08333333333333,0.6321874014473823,62.5,72.22222222222223,33.333333333333336,0.902417650017313
416,98.61655926021437,98.06644880174292,99.16666666666667,0.6130386018997859,66.66666666666667,77.77777777777777,33.333333333333336,0.8968461326272417
448,98.62336753867567,98.08006535947713,99.16666666666667,0.5946679742890651,66.66666666666667,77.77777777777777,33.333333333333336,0.8951872277239626
480,98.80855272834499,97.61710239651417,100.0,0.5773249839932246,66.66666666666667,72.22222222222223,50.0,0.8867685804877564
512,98.80855272834499,97.61710239651416,100.0,0.5607548173989209,66.66666666666667,72.22222222222223,50.0,0.892859816297781
544,98.57707124513884,97.15413943355121,100.0,0.545210859300138,66.66666666666667,72.22222222222223,50.0,0.8747522133486937
576,98.93791002687067,97.87581699346406,100.0,0.5302248540468361,70.83333333333333,77.77777777777777,50.0,0.8591929362288866
608,99.04684249001245,98.09368191721133,100.0,0.5157593958414521,62.5,72.22222222222223,33.333333333333336,0.9273084820596301
640,98.93110174840938,97.86220043572985,100.0,0.501964532491237,62.5,72.22222222222223,33.333333333333336,0.9351755813220107
672,98.92429346994807,97.84858387799564,100.0,0.48878516330200794,58.333333333333336,66.66666666666667,33.333333333333336,0.9477638420703115
704,99.16258323161553,98.32516339869282,100.0,0.47616100426724356,58.333333333333336,66.66666666666667,33.333333333333336,0.9645430628786023
736,99.04684249001245,98.09368191721133,100.0,0.4640593983495253,58.333333333333336,66.66666666666667,33.333333333333336,0.9434826356367502
768,99.2851322516799,98.57026143790851,100.0,0.4525845447317966,62.5,72.22222222222223,33.333333333333336,0.964542368104469
800,99.16258323161553,98.32516339869282,100.0,0.4414310126941354,58.333333333333336,66.66666666666667,33.333333333333336,0.9833559404330657
832,99.16258323161553,98.32516339869282,100.0,0.4307829687697815,58.333333333333336,66.66666666666667,33.333333333333336,1.0065603144518112
864,99.2783239732186,98.5566448801743,100.0,0.4205502539730311,58.333333333333336,66.66666666666667,33.333333333333336,1.00343599750756
896,99.2783239732186,98.55664488017429,100.0,0.41069690719385904,58.333333333333336,66.66666666666667,33.333333333333336,1.0209493622585424
928,99.2783239732186,98.5566448801743,100.0,0.4010567565771413,58.333333333333336,66.66666666666667,33.333333333333336,1.0325164928686876
960,99.2783239732186,98.5566448801743,100.0,0.391909282709473,54.166666666666664,66.66666666666667,16.666666666666668,1.0514157673023952
992,99.2783239732186,98.5566448801743,100.0,0.38300871020181787,54.166666666666664,66.66666666666667,16.666666666666668,1.0606235633185321
1024,99.52342201334734,99.04684095860567,100.0,0.3745122770633142,58.333333333333336,72.22222222222223,16.666666666666668,1.0571691501962264
1056,99.52342201334734,99.04684095860567,100.0,0.3660535339704964,62.5,72.22222222222223,33.333333333333336,1.05738866515358
